question,answer
93 - 87 - 84,-78
94 * 63 + 65,5987
68 * 7 + 5,481
8 + 94 * 7,666
92 - 33 * 8,-172
17 + 73 * 63,4616
61 - 19 * 62,-1117
83 - 66 - 53,-36
83 + 39 + 76,198
22 * 81 * 76,135432
52 + 95 * 56,5372
72 + 39 + 4,115
31 * 84 * 27,70308
80 + 30 + 99,209
34 * (38 + 70),3672
13 + 76 - 74,15
80 - 20 * 64,-1200
89 + 55 - 79,65
56 - 66 - 38,-48
62 + 13 + 78,153
51 + 48 - 55,44
43 * 40 + 59,1779
65 * 43 * 80,223600
42 * (49 + 60),4578
96 + 29 - 38,87
97 * 37 + 86,3675
26 * 50 + 22,1322
(58 + 65) * 73,8979
71 * 78 * 58,321204
66 * (25 + 35),3960
34 * 86 + 56,2980
27 - 54 * 9,-459
97 * (27 + 49),7372
81 - 37 * 77,-2768
3 * 41 + 67,190
26 * (41 + 8),1274
38 - 36 * 4,-106
93 - 44 * 11,-391
58 + 60 * 27,1678
78 - 23 * 64,-1394
28 * (96 + 98),5432
22 + 99 * 74,7348
27 + 39 - 81,-15
78 - 42 * 15,-552
31 + 89 * 37,3324
17 + 11 + 32,60
62 * 97 + 20,6034
31 + 91 * 26,2397
28 - 0 - 42,-14
16 - 28 - 11,-23
88 + 35 * 42,1558
23 + 45 - 98,-30
26 - 99 - 61,-134
19 - 89 * 13,-1138
84 * 1 * 73,6132
(13 + 10) * 34,782
38 * 68 + 36,2620
38 + 47 * 38,1824
18 + 80 + 57,155
17 * (60 + 84),2448
84 * (40 + 19),4956
62 * (76 + 85),9982
13 + 77 + 33,123
41 + 51 - 92,0
34 * 93 + 91,3253
(77 + 31) * 18,1944
75 + 89 * 38,3457
23 + 67 * 51,3440
90 - 8 * 18,-54
(35 + 85) * 7,840
33 + 83 + 19,135
7 * (84 + 0),588
67 + 43 * 69,3034
21 * 80 + 33,1713
14 * 42 * 70,41160
9 + 26 * 67,1751
77 * 35 * 6,16170
30 - 18 - 10,2
40 * 92 + 33,3713
39 + 32 - 50,21
5 + 45 * 40,1805
6 + 92 + 79,177
20 + 36 + 17,73
(74 + 35) * 14,1526
24 * 23 * 10,5520
4 * 70 + 98,378
62 + 24 - 74,12
66 - 26 - 13,27
31 * 86 + 52,2718
(60 + 81) * 72,10152
78 + 59 + 75,212
(63 + 57) * 30,3600
77 - 79 * 66,-5137
(75 + 29) * 17,1768
26 + 37 * 55,2061
72 * 42 * 91,275184
19 + 12 * 23,295
58 * 16 + 49,977
40 - 2 * 30,-20
87 + 78 + 43,208
21 - 64 * 22,-1387
51 * 45 * 40,91800
32 - 71 - 17,-56
80 + 16 + 4,100
75 + 40 * 40,1675
24 - 71 - 18,-65
21 + 63 * 28,1785
98 * 29 * 46,130732
59 * 25 * 99,146025
92 + 5 + 47,144
16 + 92 + 89,197
95 + 82 * 14,1243
62 + 23 * 96,2270
(95 + 6) * 9,909
40 * (77 + 23),4000
36 + 57 * 80,4596
51 + 34 - 53,32
85 - 20 * 10,-115
44 * (80 + 6),3784
46 - 35 * 44,-1494
46 * 30 * 47,64860
38 + 84 * 38,3230
81 + 57 + 2,140
61 * 9 + 33,582
8 + 8 + 10,26
69 * (6 + 18),1656
36 - 59 * 18,-1026
79 * 9 * 29,20619
70 - 88 * 43,-3714
71 - 69 * 78,-5311
(33 + 61) * 5,470
45 * 26 + 66,1236
(48 + 61) * 10,1090
31 + 45 + 13,89
74 * 24 * 97,172272
71 + 30 - 28,73
4 * 30 + 55,175
(91 + 94) * 42,7770
16 * 32 + 73,585
47 - 81 * 18,-1411
15 + 56 - 21,50
64 - 3 * 11,31
32 - 73 - 23,-64
61 - 67 * 84,-5567
38 * 92 * 5,17480
63 - 32 - 77,-46
53 + 36 + 61,150
39 - 20 - 34,-15
31 * (67 + 27),2914
82 * 98 * 1,8036
55 - 5 - 71,-21
25 + 52 * 9,493
38 + 83 + 49,170
67 * 96 * 88,566016
59 + 8 + 63,130
88 * 26 + 75,2363
(90 + 8) * 57,5586
25 - 93 - 96,-164
79 + 66 * 65,4369
76 * 22 + 43,1715
6 - 44 * 8,-346
(2 + 33) * 52,1820
40 + 97 * 13,1301
(20 + 78) * 24,2352
87 - 87 - 79,-79
43 + 43 - 45,41
12 * (45 + 56),1212
71 - 91 * 33,-2932
76 + 47 - 0,123
1 + 23 - 86,-62
0 + 91 + 2,93
84 - 41 - 48,-5
29 * (14 + 25),1131
58 + 83 + 39,180
55 * 93 * 38,194370
24 * (93 + 54),3528
28 - 11 - 43,-26
48 + 15 - 96,-33
69 * 31 + 35,2174
84 + 28 + 62,174
29 + 49 - 30,48
43 + 69 * 91,6322
62 - 54 * 71,-3772
98 - 30 - 57,11
97 * 38 + 18,3704
70 * 29 * 28,56840
48 * 9 * 28,12096
27 + 20 - 7,40
61 + 30 - 87,4
8 * 25 + 30,230
9 - 55 - 60,-106
18 * 50 * 65,58500
30 + 11 * 5,85
23 - 37 * 41,-1494
85 - 77 - 0,8
26 + 41 * 48,1994
17 - 6 - 64,-53
75 + 84 + 86,245
(59 + 59) * 5,590
37 * 65 + 35,2440
44 * (57 + 10),2948
0 * (63 + 54),0
(52 + 98) * 33,4950
96 * 75 * 19,136800
59 - 18 * 98,-1705
39 * (5 + 50),2145
97 + 78 - 66,109
9 + 87 + 93,189
98 * 82 * 20,160720
67 - 56 * 99,-5477
2 * (33 + 8),82
74 * 85 * 0,0
70 * (16 + 49),4550
34 * 14 + 97,573
96 + 65 - 62,99
93 * 31 * 21,60543
96 + 33 - 40,89
15 * (9 + 63),1080
39 - 72 - 27,-60
11 - 33 - 30,-52
(77 + 68) * 37,5365
80 * 23 + 21,1861
80 - 30 - 12,38
(86 + 62) * 97,14356
72 + 64 - 66,70
73 + 54 + 52,179
76 - 83 - 89,-96
25 - 44 * 48,-2087
97 * (65 + 86),14647
(11 + 6) * 32,544
76 * (40 + 99),10564
76 * (41 + 75),8816
45 - 97 * 38,-3641
(11 + 24) * 50,1750
17 * 73 * 17,21097
18 * (64 + 49),2034
(0 + 52) * 52,2704
12 + 71 + 85,168
(96 + 39) * 92,12420
84 * 78 + 40,6592
3 * (60 + 0),180
71 - 8 * 82,-585
19 + 52 - 84,-13
9 * 55 * 56,27720
77 * (2 + 25),2079
50 + 98 * 73,7204
(93 + 78) * 71,12141
89 + 9 * 73,746
94 + 83 - 83,94
38 + 48 + 73,159
42 - 3 * 66,-156
50 + 52 - 71,31
88 * (2 + 75),6776
82 * 21 * 42,72324
49 - 12 - 60,-23
19 * 58 * 10,11020
42 + 4 + 51,97
(10 + 39) * 61,2989
71 - 57 - 37,-23
47 * 51 * 98,234906
14 * (33 + 38),994
2 * (71 + 35),212
94 + 44 * 96,4318
12 - 62 - 85,-135
3 * 85 * 51,13005
51 - 58 - 11,-18
(23 + 38) * 27,1647
65 + 38 * 15,635
(71 + 56) * 64,8128
82 - 24 - 2,56
30 - 11 - 77,-58
(98 + 66) * 15,2460
93 + 80 - 69,104
41 * (97 + 14),4551
62 + 72 * 34,2510
50 + 84 * 88,7442
58 - 62 * 12,-686
50 + 40 * 66,2690
52 * 6 * 83,25896
(8 + 13) * 38,798
9 - 52 * 55,-2851
56 - 80 * 86,-6824
65 * 22 * 4,5720
71 - 16 - 8,47
85 + 36 - 55,66
(55 + 62) * 93,10881
18 + 47 * 19,911
63 - 49 * 63,-3024
24 - 93 * 72,-6672
64 - 33 * 29,-893
33 * 33 * 16,17424
(98 + 73) * 47,8037
33 + 75 + 70,178
(45 + 71) * 87,10092
42 - 46 * 70,-3178
62 * (66 + 71),8494
82 + 84 * 51,4366
20 + 35 * 92,3240
59 + 35 - 43,51
9 * 85 + 37,802
59 + 90 * 5,509
68 * (68 + 57),8500
77 + 70 * 43,3087
90 - 49 * 95,-4565
65 * 79 * 33,169455
42 - 28 - 84,-70
(8 + 45) * 30,1590
86 + 81 - 36,131
26 + 44 - 63,7
30 - 13 * 26,-308
74 + 4 + 74,152
26 - 26 - 25,-25
81 * 44 + 4,3568
34 * 62 + 20,2128
95 + 56 - 39,112
71 * 4 * 15,4260
33 + 23 + 75,131
29 * (68 + 2),2030
9 + 25 - 32,2
38 * 65 * 59,145730
70 - 42 - 0,28
91 - 23 - 18,50
95 - 19 * 18,-247
12 - 4 * 90,-348
10 + 39 - 53,-4
59 + 77 + 33,169
41 + 3 * 55,206
50 + 35 - 8,77
4 + 89 * 41,3653
17 + 82 - 47,52
85 + 6 - 55,36
89 - 94 - 92,-97
40 * (91 + 47),5520
57 - 77 - 41,-61
(16 + 88) * 61,6344
72 - 29 - 54,-11
38 * 86 + 58,3326
96 + 59 - 40,115
15 * (77 + 71),2220
1 * (85 + 56),141
88 * 31 + 90,2818
11 + 64 * 29,1867
17 * 94 + 39,1637
50 + 61 * 24,1514
69 * 82 * 16,90528
56 * 34 + 3,1907
92 - 77 - 58,-43
72 + 0 - 8,64
86 - 23 * 57,-1225
54 * (88 + 2),4860
12 + 67 + 97,176
71 * 62 + 69,4471
61 * 17 + 95,1132
17 * 57 * 42,40698
65 - 85 * 94,-7925
58 + 68 + 83,209
(73 + 12) * 4,340
70 * (74 + 99),12110
27 - 50 - 4,-27
(76 + 88) * 58,9512
6 * 71 + 69,495
96 - 88 - 12,-4
48 + 3 * 48,192
64 + 99 * 90,8974
56 + 44 - 28,72
56 * 76 * 51,217056
88 * 45 * 71,281160
30 * (94 + 49),4290
97 + 21 - 88,30
24 - 52 * 20,-1016
99 - 17 - 29,53
(67 + 84) * 95,14345
30 + 32 + 16,78
16 - 65 - 28,-77
63 * (1 + 36),2331
23 + 17 - 85,-45
38 - 80 - 94,-136
44 + 25 - 1,68
94 * 46 + 90,4414
(38 + 39) * 29,2233
99 * (72 + 90),16038
17 * 57 * 34,32946
79 + 14 * 58,891
47 * (5 + 46),2397
(19 + 59) * 79,6162
63 + 70 + 88,221
62 * (9 + 78),5394
63 - 59 * 84,-4893
29 - 6 * 87,-493
48 * 59 + 67,2899
33 - 48 * 38,-1791
3 + 68 + 89,160
13 + 34 - 32,15
86 * (63 + 47),9460
(51 + 61) * 16,1792
28 * 52 * 39,56784
50 + 0 - 57,-7
67 - 38 * 57,-2099
18 + 46 * 65,3008
25 * 51 * 22,28050
(93 + 36) * 58,7482
44 - 84 * 14,-1132
81 * (67 + 21),7128
40 * 9 * 65,23400
(2 + 9) * 98,1078
(8 + 53) * 76,4636
44 - 19 * 19,-317
33 * (60 + 89),4917
(0 + 13) * 5,65
68 * (12 + 4),1088
31 + 79 * 18,1453
21 * (60 + 21),1701
78 - 21 - 18,39
80 * (20 + 17),2960
19 - 27 - 55,-63
94 + 83 + 69,246
7 - 10 - 88,-91
11 + 79 - 50,40
96 - 43 * 39,-1581
65 * 63 + 73,4168
17 * 95 + 44,1659
84 * 43 + 47,3659
29 * 13 * 65,24505
(76 + 60) * 19,2584
94 - 26 - 92,-24
11 * 75 + 32,857
42 * 60 + 74,2594
14 + 71 - 27,58
(36 + 98) * 27,3618
1 + 40 * 22,881
55 + 30 * 29,925
10 * (10 + 37),470
60 + 28 - 74,14
(54 + 91) * 21,3045
2 + 52 * 75,3902
77 + 43 - 71,49
52 + 29 - 33,48
7 * (26 + 38),448
31 * (6 + 69),2325
95 - 27 * 85,-2200
85 * (56 + 20),6460
3 * 10 * 86,2580
91 - 62 - 66,-37
7 * 99 + 28,721
39 - 5 - 91,-57
0 * 36 + 47,47
54 + 68 * 4,326
5 * 26 + 67,197
4 + 8 * 20,164
66 + 56 + 4,126
27 * 79 * 28,59724
92 + 96 * 60,5852
25 * (20 + 1),525
96 - 29 * 22,-542
(43 + 78) * 71,8591
5 * 69 * 1,345
69 * (77 + 61),9522
84 - 13 * 6,6
24 + 35 + 24,83
99 + 13 * 70,1009
86 + 20 + 78,184
68 + 55 - 8,115
97 - 24 * 21,-407
(50 + 75) * 17,2125
19 * 20 + 13,393
(40 + 54) * 41,3854
1 * (30 + 26),56
79 + 75 - 63,91
27 - 19 - 14,-6
(78 + 86) * 23,3772
46 - 77 - 67,-98
7 * (25 + 45),490
(52 + 95) * 83,12201
32 + 47 + 6,85
42 + 97 * 63,6153
80 - 16 - 47,17
83 + 36 * 50,1883
33 + 28 - 85,-24
(66 + 50) * 44,5104
9 * (1 + 14),135
52 + 19 + 79,150
68 * 66 + 74,4562
64 - 17 - 59,-12
16 + 32 + 2,50
(35 + 23) * 20,1160
8 + 90 * 8,728
85 * (0 + 99),8415
61 * (5 + 10),915
54 + 33 - 19,68
49 + 31 + 10,90
61 * 55 * 43,144265
49 * 46 * 28,63112
17 + 80 - 8,89
44 + 51 - 50,45
28 + 14 - 4,38
56 * (46 + 63),6104
3 + 77 * 32,2467
15 * (80 + 85),2475
(16 + 7) * 83,1909
21 * (31 + 89),2520
24 * 17 * 53,21624
32 + 65 * 16,1072
97 + 33 * 98,3331
73 * 44 + 67,3279
67 + 74 * 35,2657
86 + 15 - 68,33
88 * 52 * 18,82368
(45 + 61) * 28,2968
24 + 71 + 25,120
11 * 18 + 42,240
64 * 52 * 26,86528
68 + 3 + 21,92
6 + 72 + 85,163
84 * (95 + 25),10080
98 - 36 - 84,-22
98 - 63 * 76,-4690
64 + 8 - 14,58
6 * 59 + 71,425
44 + 80 * 80,6444
48 - 90 * 28,-2472
1 - 81 * 78,-6317
85 + 69 + 58,212
9 * (41 + 34),675
68 + 6 * 25,218
41 * 50 + 10,2060
(51 + 85) * 19,2584
91 * 46 * 3,12558
37 + 62 * 96,5989
41 * 70 * 14,40180
99 + 39 * 97,3882
52 * 58 + 92,3108
67 * 37 + 7,2486
84 * 51 + 54,4338
27 - 66 * 30,-1953
18 + 47 + 80,145
7 + 58 + 91,156
90 + 46 - 4,132
1 - 97 * 17,-1648
78 + 23 * 81,1941
56 - 91 - 52,-87
13 + 20 * 50,1013
23 + 33 * 91,3026
16 * 34 * 44,23936
21 + 69 * 73,5058
65 - 83 - 19,-37
67 + 40 - 57,50
25 + 33 - 50,8
49 - 34 * 69,-2297
3 * 73 * 44,9636
80 + 40 - 64,56
(98 + 76) * 71,12354
89 * 27 * 62,148986
47 - 34 - 96,-83
8 + 29 - 43,-6
45 * 52 * 47,109980
27 + 59 * 40,2387
17 - 35 * 30,-1033
10 + 85 + 45,140
85 - 82 * 31,-2457
69 * (83 + 67),10350
51 - 37 * 85,-3094
85 - 11 - 59,15
64 + 99 + 66,229
50 + 31 * 48,1538
37 * (26 + 17),1591
93 * 27 + 60,2571
(78 + 40) * 85,10030
10 + 41 + 55,106
20 - 68 * 30,-2020
11 * (36 + 82),1298
35 - 99 - 74,-138
53 * (81 + 55),7208
64 - 91 - 4,-31
(18 + 68) * 22,1892
81 + 17 - 29,69
61 + 97 + 88,246
93 - 48 - 9,36
(70 + 6) * 27,2052
9 - 25 * 88,-2191
58 * 16 * 65,60320
29 - 71 - 24,-66
73 + 88 + 62,223
96 * 75 * 87,626400
6 + 53 - 15,44
61 - 21 * 19,-338
58 * 53 + 15,3089
78 + 2 * 65,208
75 - 79 - 8,-12
(49 + 43) * 71,6532
0 - 32 * 11,-352
81 - 32 * 20,-559
26 - 34 * 55,-1844
45 - 13 - 15,17
7 * (44 + 40),588
55 * 48 * 93,245520
82 * (33 + 14),3854
17 * 35 * 56,33320
(13 + 47) * 96,5760
28 + 77 - 12,93
(86 + 78) * 30,4920
38 * 0 + 15,15
75 * (26 + 29),4125
40 + 83 * 30,2530
43 + 39 + 37,119
(68 + 36) * 81,8424
94 + 91 * 17,1641
21 - 54 * 27,-1437
20 - 12 * 23,-256
56 * 5 * 2,560
92 - 60 - 58,-26
36 - 12 - 80,-56
59 - 97 * 46,-4403
46 * 81 + 46,3772
93 + 4 * 71,377
29 * 21 * 30,18270
42 - 19 * 24,-414
13 + 89 + 77,179
88 * (48 + 57),9240
63 * (13 + 45),3654
24 * 18 + 25,457
98 * 77 + 92,7638
8 - 3 - 30,-25
87 + 57 + 65,209
36 - 10 - 66,-40
6 - 18 * 26,-462
(44 + 14) * 73,4234
97 - 14 * 65,-813
70 * 27 * 72,136080
(65 + 85) * 39,5850
75 * 39 * 14,40950
53 * 2 * 18,1908
90 * 31 + 1,2791
92 - 77 * 9,-601
33 * 42 + 59,1445
(37 + 57) * 43,4042
87 * (53 + 7),5220
83 + 61 * 22,1425
94 * (62 + 43),9870
43 * (58 + 23),3483
40 + 66 * 62,4132
(22 + 28) * 62,3100
18 * (54 + 65),2142
66 * (63 + 94),10362
9 + 52 + 90,151
5 * (39 + 81),600
50 - 31 - 40,-21
24 + 81 - 80,25
13 * 74 + 67,1029
25 * 52 + 59,1359
1 + 34 - 61,-26
3 + 40 + 87,130
13 * 70 + 24,934
(99 + 83) * 30,5460
46 * 11 * 25,12650
58 * 51 + 93,3051
72 + 72 + 79,223
5 - 13 - 82,-90
68 * 43 * 59,172516
61 + 82 * 92,7605
(31 + 32) * 48,3024
34 - 92 - 83,-141
(48 + 19) * 50,3350
34 * (74 + 94),5712
99 - 65 - 27,7
47 + 13 - 82,-22
87 * 65 * 74,418470
66 - 36 * 61,-2130
82 + 0 * 12,82
19 + 31 - 65,-15
3 * (63 + 2),195
16 + 38 + 63,117
63 * 11 + 47,740
41 + 7 + 15,63
(71 + 3) * 44,3256
37 - 40 - 44,-47
10 + 33 - 0,43
26 + 17 + 20,63
80 * 36 * 57,164160
49 - 60 * 79,-4691
85 + 59 * 77,4628
(28 + 46) * 39,2886
68 - 41 * 19,-711
74 - 45 * 60,-2626
31 - 65 - 92,-126
46 - 7 * 63,-395
0 - 67 - 89,-156
72 + 75 + 25,172
76 - 21 * 44,-848
30 * 40 * 95,114000
50 - 29 * 36,-994
15 - 30 - 27,-42
27 + 8 * 69,579
28 + 49 * 57,2821
24 - 55 - 90,-121
47 + 32 + 28,107
47 - 76 * 55,-4133
53 + 52 * 74,3901
66 * (2 + 66),4488
(23 + 19) * 68,2856
19 * 19 * 35,12635
(92 + 76) * 67,11256
18 - 93 - 10,-85
43 - 98 - 55,-110
77 * 74 + 90,5788
52 + 25 + 92,169
2 + 77 * 99,7625
99 - 31 * 37,-1048
56 * 26 * 52,75712
66 + 8 * 65,586
20 + 4 * 17,88
70 + 82 * 51,4252
(18 + 48) * 69,4554
16 * (58 + 58),1856
98 + 72 + 77,247
22 * 84 * 20,36960
89 + 67 * 59,4042
76 * 76 * 22,127072
(64 + 81) * 8,1160
67 + 23 + 67,157
56 * 84 + 13,4717
44 - 5 - 10,29
44 + 76 + 45,165
20 * (15 + 38),1060
78 - 70 * 24,-1602
63 * 4 * 77,19404
74 + 75 + 62,211
15 * 20 + 74,374
98 + 28 - 15,111
66 + 18 + 23,107
2 * (42 + 79),242
9 * (84 + 50),1206
41 * 98 + 87,4105
56 - 75 * 29,-2119
40 + 7 + 18,65
(44 + 86) * 73,9490
91 - 87 - 20,-16
(61 + 19) * 33,2640
60 - 27 * 69,-1803
71 - 36 * 47,-1621
75 + 73 - 36,112
61 - 66 - 63,-68
94 - 12 - 75,7
63 + 31 + 27,121
22 * 97 * 68,145112
2 - 22 * 4,-86
(44 + 11) * 50,2750
9 + 39 + 24,72
81 + 6 + 45,132
56 + 51 + 4,111
19 + 28 - 57,-10
(17 + 9) * 63,1638
7 + 51 + 90,148
3 * 29 * 75,6525
19 * 75 + 48,1473
35 * (15 + 42),1995
88 - 41 * 38,-1470
10 + 19 + 30,59
71 + 65 + 14,150
40 * 3 * 65,7800
86 * 17 + 46,1508
25 * (48 + 8),1400
43 * (60 + 32),3956
48 - 71 - 62,-85
71 - 59 - 25,-13
51 * (45 + 28),3723
48 - 90 - 75,-117
42 - 18 - 27,-3
11 + 22 * 7,165
(73 + 11) * 70,5880
63 - 5 - 45,13
17 * 50 * 11,9350
61 * 65 + 33,3998
62 * 54 * 3,10044
35 * (64 + 76),4900
32 + 72 + 11,115
7 * 40 + 31,311
61 + 97 + 64,222
52 * 18 * 62,58032
45 * 20 + 39,939
69 - 87 * 55,-4716
42 - 74 * 82,-6026
9 - 90 * 55,-4941
59 + 76 + 13,148
68 * 50 + 51,3451
12 - 22 * 40,-868
30 - 30 * 85,-2520
1 + 92 + 97,190
14 * (28 + 9),518
57 * 35 * 70,139650
3 + 87 * 26,2265
84 + 70 * 93,6594
37 * (92 + 0),3404
70 * 75 * 22,115500
5 + 47 + 40,92
48 + 91 * 7,685
58 - 38 * 34,-1234
18 + 14 - 54,-22
62 - 70 * 35,-2388
7 - 11 * 24,-257
19 - 42 * 55,-2291
22 * (78 + 51),2838
45 * 36 * 77,124740
44 + 55 - 0,99
78 - 48 * 46,-2130
15 + 35 + 69,119
(99 + 83) * 60,10920
7 * (68 + 94),1134
47 * 57 * 20,53580
65 + 26 + 68,159
70 + 28 - 8,90
34 - 26 * 50,-1266
40 * 32 + 26,1306
65 - 53 - 89,-77
6 - 40 * 44,-1754
72 * (76 + 85),11592
18 - 14 * 60,-822
67 - 76 - 89,-98
27 + 83 - 57,53
48 + 91 - 69,70
20 * 35 + 43,743
(42 + 87) * 31,3999
36 + 59 + 51,146
13 + 49 - 42,20
5 - 86 - 24,-105
98 - 31 * 94,-2816
21 - 63 - 1,-43
70 + 18 - 48,40
53 + 98 + 76,227
4 - 43 - 79,-118
81 - 97 * 1,-16
97 + 72 + 97,266
62 * 64 + 54,4022
61 + 95 + 67,223
39 + 39 + 33,111
2 * 35 + 6,76
41 + 52 - 0,93
31 * 63 * 24,46872
63 * 68 + 35,4319
46 * 93 * 61,260958
(47 + 8) * 99,5445
24 + 97 + 85,206
23 + 99 * 48,4775
63 * (38 + 18),3528
35 + 13 * 33,464
16 + 18 + 71,105
10 - 79 * 80,-6310
88 * (16 + 60),6688
50 * 90 + 96,4596
37 + 85 * 74,6327
13 + 10 - 87,-64
9 * 23 + 15,222
1 * (35 + 28),63
40 + 38 * 96,3688
70 - 35 * 47,-1575
69 * (3 + 8),759
0 + 7 - 14,-7
21 * (59 + 90),3129
37 - 60 - 96,-119
64 * (67 + 11),4992
48 * 78 + 41,3785
74 * 11 + 29,843
19 * (10 + 24),646
41 * (53 + 21),3034
30 + 33 + 8,71
56 + 13 + 53,122
74 + 33 + 40,147
59 * 55 * 3,9735
(56 + 49) * 82,8610
(91 + 61) * 40,6080
98 + 48 * 3,242
56 * 72 + 51,4083
(98 + 21) * 67,7973
80 - 52 - 2,26
73 * 46 + 57,3415
96 + 64 + 21,181
18 + 78 + 51,147
59 + 24 * 74,1835
6 - 9 - 32,-35
2 + 55 - 52,5
51 * 63 * 36,115668
(11 + 83) * 34,3196
75 + 50 + 41,166
(92 + 47) * 78,10842
39 + 95 * 45,4314
46 - 68 - 95,-117
11 * 88 * 26,25168
(81 + 73) * 21,3234
2 * (30 + 55),170
30 - 91 * 6,-516
27 + 23 + 18,68
(0 + 57) * 79,4503
70 + 37 + 12,119
93 * 50 * 67,311550
12 * (28 + 85),1356
83 - 28 - 35,20
17 * 32 + 20,564
98 * 24 + 1,2353
92 + 21 * 34,806
38 + 34 * 56,1942
54 * (77 + 36),6102
80 + 90 + 70,240
78 + 57 * 84,4866
35 * 33 * 9,10395
25 * 37 * 82,75850
78 * 17 + 58,1384
56 * 56 + 51,3187
(98 + 82) * 42,7560
11 * 66 * 48,34848
47 + 56 + 1,104
8 * 27 + 34,250
39 * 91 + 69,3618
34 - 63 * 63,-3935
7 - 79 - 43,-115
(78 + 35) * 44,4972
90 * (85 + 8),8370
30 * 21 + 89,719
20 * 18 * 41,14760
85 - 4 - 37,44
11 + 64 + 66,141
92 * 51 * 71,333132
16 * 78 + 33,1281
97 + 19 - 66,50
28 * 57 + 3,1599
(66 + 84) * 95,14250
44 * (19 + 46),2860
(33 + 48) * 34,2754
82 + 58 - 83,57
81 - 38 - 77,-34
63 - 7 * 86,-539
25 * 80 * 85,170000
67 + 48 - 26,89
21 + 98 + 31,150
4 * (13 + 75),352
34 * 18 + 20,632
29 * (77 + 89),4814
51 * 37 + 58,1945
14 * (51 + 20),994
40 - 0 - 75,-35
15 + 15 * 15,240
(11 + 48) * 30,1770
15 * 77 * 97,112035
98 + 17 - 16,99
(38 + 94) * 86,11352
47 * 31 + 70,1527
39 + 90 - 60,69
51 * 16 + 69,885
58 * 43 * 75,187050
(24 + 40) * 1,64
26 + 89 + 28,143
(79 + 4) * 34,2822
84 - 48 * 0,84
89 * 96 + 36,8580
43 - 11 - 67,-35
51 * 76 * 20,77520
39 + 0 * 46,39
34 + 21 * 95,2029
36 - 64 - 55,-83
82 - 97 - 10,-25
(93 + 12) * 25,2625
81 * (29 + 90),9639
11 * 43 * 33,15609
54 + 22 * 53,1220
76 * 0 + 45,45
53 * 37 + 83,2044
(58 + 21) * 47,3713
84 + 70 - 58,96
30 - 78 - 32,-80
66 - 32 * 75,-2334
52 * (21 + 80),5252
84 + 87 * 64,5652
(0 + 42) * 29,1218
67 + 4 * 55,287
13 * (6 + 90),1248
62 - 0 * 90,62
48 - 25 * 86,-2102
74 + 42 * 42,1838
82 - 96 - 84,-98
84 * 90 + 36,7596
94 * (67 + 33),9400
(69 + 67) * 38,5168
77 - 55 - 49,-27
44 + 58 + 22,124
75 * 15 * 1,1125
85 * (29 + 55),7140
96 + 46 * 88,4144
58 + 45 - 76,27
6 * (28 + 42),420
12 + 36 + 19,67
47 * (57 + 24),3807
80 + 11 + 15,106
18 * 24 + 61,493
69 * (77 + 29),7314
82 + 49 - 85,46
85 + 55 * 89,4980
(84 + 42) * 0,0
55 + 68 + 97,220
9 + 59 - 96,-28
56 - 75 - 95,-114
(0 + 83) * 63,5229
82 * 5 * 10,4100
83 + 96 + 87,266
17 - 16 * 14,-207
11 + 7 * 7,60
90 - 83 * 61,-4973
80 * 60 * 1,4800
72 * 60 * 37,159840
0 + 81 * 15,1215
5 * (7 + 22),145
(49 + 48) * 82,7954
(57 + 82) * 49,6811
10 + 83 + 0,93
81 + 15 + 44,140
(80 + 56) * 71,9656
16 - 12 - 33,-29
41 - 59 - 19,-37
40 * (38 + 98),5440
7 + 29 + 40,76
30 - 10 - 10,10
7 + 75 * 66,4957
59 * (71 + 47),6962
(73 + 81) * 20,3080
94 * 93 * 99,865458
(7 + 9) * 75,1200
81 * 10 * 94,76140
90 + 33 - 63,60
82 + 91 + 78,251
55 - 78 * 12,-881
16 * 17 * 58,15776
(59 + 75) * 69,9246
37 - 36 * 70,-2483
50 + 26 * 26,726
39 - 17 * 52,-845
40 * 78 + 38,3158
(5 + 7) * 88,1056
(6 + 89) * 72,6840
7 * 32 + 42,266
4 * (74 + 80),616
11 + 10 + 95,116
3 - 62 - 57,-116
28 * (92 + 20),3136
91 + 40 - 46,85
59 * 27 * 84,133812
51 + 77 - 40,88
19 * 45 + 44,899
(91 + 65) * 82,12792
84 + 98 * 35,3514
27 * 68 * 69,126684
34 * 30 + 56,1076
68 * 92 * 35,218960
33 + 63 - 74,22
48 * 97 * 77,358512
2 * 88 + 41,217
95 + 89 - 82,102
71 * 67 * 33,156981
70 + 51 + 30,151
91 + 98 * 4,483
75 * 41 * 79,242925
99 - 23 - 0,76
(72 + 42) * 5,570
99 - 32 - 50,17
62 - 7 - 46,9
93 + 96 - 25,164
(27 + 37) * 41,2624
95 - 88 * 93,-8089
65 * 85 + 18,5543
32 - 39 - 21,-28
18 + 65 * 71,4633
90 + 37 + 65,192
61 - 29 - 16,16
33 - 70 * 74,-5147
22 + 32 - 7,47
57 + 82 * 66,5469
27 + 82 * 56,4619
68 * (3 + 76),5372
26 - 6 - 99,-79
91 * (86 + 32),10738
89 + 57 * 70,4079
79 * (28 + 41),5451
80 * 12 + 52,1012
(54 + 36) * 49,4410
(38 + 47) * 53,4505
2 + 69 * 27,1865
7 * (69 + 31),700
33 * 55 + 60,1875
(55 + 1) * 19,1064
30 * (50 + 86),4080
98 - 82 * 56,-4494
(64 + 50) * 59,6726
